run_name,method,selected_for_method,seed,learning_rate,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,checkpoint_best_val_loss,target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9650443748191551,0.9424777560763888,13.536721267700194,756699.3303341003
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.3436553740501402,10.41925330584888
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.34686674895109953,0.2765666820384838,2.36205203294754,10.612706747417013
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.5444409405743634,0.4777795297128183,2.5201254177093504,12.430155527454055
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.7298219468858507,0.685088970043041,4.14566727399826,63.15975270450344
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.8192777280454282,0.7903611924913194,9.946524925231934,20879.538207060996
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.909398114239728,0.8953009711371528,16.37814504623413,12969941.504673222
l1-a1e-6-lr6e-4-seed0,l1,no,0,0.0006,1e-06,,,,,2.3359267664,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9546291210033275,0.9476853829843027,17.39122142791748,35720004.070112295
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.342387328147888,10.406049587619501
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.3064578021014178,0.29677115546332467,2.37952454328537,10.799766821393387
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.5020257455331308,0.4989871272334346,2.674949209690094,14.511612771563213
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6917453342013888,0.704127276385272,5.253200259208679,191.17710681333006
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7892328898111979,0.8053836116084346,11.550275344848632,103805.61522685945
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8912537186234085,0.9043731689453125,16.638723945617677,16830847.907513466
l1-a1e-7-lr6e-4-seed0,l1,yes,0,0.0006,1e-07,,,,,2.3354790163,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9441101639359085,0.9529448615180122,17.49666088104248,39692026.4756132
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.7453137540817263,15.569498159519352
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.2848324245876736,0.30758384422019674,2.8757227754592893,17.738240254057256
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.48110425030743637,0.5094478748462818,4.35312313079834,77.72081655307838
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6813484474464699,0.7093257197627315,13.38626007080078,650996.8424038161
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7838465372721354,0.8080767878779659,15.439883069992066,5075233.389898619
